Sample	ANC IV
Comments	
Filename	C:\Users\SR\Desktop\KV257~1.18\ANCIV_~1.ASC
Goniometer	MiniFlex 300/600 +
Attachment	Standard Sample Holder
Monochromater	None
39.68	816.667
39.7	718.333
39.72	860
39.74	758.333
39.76	738.333
39.78	775
39.8	756.667
39.82	790
39.84	768.333
39.86	761.667
39.88	818.333
39.9	783.333
39.92	781.667
39.94	806.667
39.96	795
39.98	753.333
40	741.667
40.02	810
40.04	806.667
40.06	788.333
40.08	818.333
40.1	786.667
40.12	765
40.14	798.333
40.16	800
40.18	835
40.2	806.667
40.22	781.667
40.24	855
40.26	880
40.28	795
40.3	808.333
40.32	785
40.34	765
40.36	828.333
40.38	786.667
40.4	825
40.42	823.333
40.44	870
40.46	891.667
40.48	828.333
40.5	933.333
40.52	866.667
40.54	878.333
40.56	858.333
40.58	881.667
40.6	921.667
40.62	876.667
40.64	843.333
40.66	863.333
40.68	850
40.7	838.333
40.72	836.667
40.74	845
40.76	773.333
40.78	798.333
40.8	798.333
40.82	765
40.84	783.333
40.86	761.667
40.88	841.667
40.9	816.667
40.92	795
40.94	818.333
40.96	733.333
40.98	745
41	750
41.02	775
41.04	791.667
41.06	785
41.08	785
41.1	743.333
41.12	746.667
41.14	731.667
41.16	781.667
41.18	775
41.2	785
41.22	746.667
41.24	725
41.26	795
41.28	793.333
41.3	753.333
41.32	790
41.34	736.667
41.36	746.667
41.38	721.667
41.4	788.333
41.42	798.333
41.44	826.667
41.46	766.667
41.48	750
41.5	783.333
41.52	725
41.54	805
41.56	761.667
41.58	761.667
41.6	810
41.62	771.667
41.64	768.333
41.66	720
41.68	733.333
41.7	740
41.72	810
41.74	843.333
41.76	841.667
41.78	793.333
41.8	851.667
41.82	803.333
41.84	826.667
41.86	890
41.88	931.667
41.9	950
41.92	1026.67
41.94	1078.33
41.96	1165
41.98	1245
42	1226.67
42.02	1200
42.04	1201.67
42.06	1165
42.08	1193.33
42.1	1085
42.12	1028.33
42.14	1080
42.16	986.667
42.18	953.333
42.2	895
42.22	906.667
42.24	808.333
42.26	831.667
42.28	765
42.3	855
42.32	806.667
42.34	798.333
42.36	825
42.38	818.333
42.4	761.667
42.42	786.667
42.44	815
42.46	756.667
42.48	796.667
42.5	753.333
42.52	796.667
42.54	778.333
42.56	783.333
42.58	741.667
42.6	813.333
42.62	813.333
42.64	775
42.66	783.333
42.68	785
42.7	765
42.72	748.333
42.74	756.667
42.76	786.667
42.78	856.667
42.8	785
42.82	778.333
42.84	791.667
42.86	810
42.88	830
42.9	838.333
42.92	878.333
42.94	853.333
42.96	910
42.98	913.333
43	996.667
43.02	903.333
43.04	900
43.06	930
43.08	888.333
43.1	950
43.12	911.667
43.14	861.667
43.16	863.333
43.18	833.333
43.2	811.667
43.22	828.333
43.24	826.667
43.26	786.667
43.28	806.667
43.3	765
43.32	756.667
43.34	763.333
43.36	770
43.38	775
43.4	778.333
43.42	725
43.44	780
43.46	776.667
43.48	741.667
43.5	736.667
43.52	716.667
43.54	710
43.56	696.667
43.58	748.333
43.6	803.333
43.62	761.667
43.64	731.667
43.66	798.333
43.68	796.667
43.7	756.667
43.72	751.667
43.74	778.333
43.76	721.667
43.78	721.667
43.8	680
43.82	723.333
43.84	785
43.86	781.667
43.88	763.333
43.9	736.667
43.92	806.667
43.94	791.667
43.96	753.333
43.98	786.667
44	816.667
44.02	813.333
44.04	858.333
44.06	870
44.08	896.667
44.1	896.667
44.12	825
44.14	900
44.16	958.333
44.18	948.333
44.2	970
44.22	971.667
44.24	1008.33
44.26	965
44.28	896.667
44.3	863.333
44.32	895
44.34	896.667
44.36	883.333
44.38	928.333
44.4	883.333
44.42	853.333
44.44	860
44.46	810
44.48	886.667
44.5	870
44.52	850
44.54	840
44.56	850
44.58	876.667
44.6	901.667
44.62	870
44.64	920
44.66	908.333
44.68	906.667
44.7	945
44.72	980
44.74	1086.67
44.76	1055
44.78	1071.67
44.8	1080
44.82	1173.33
44.84	1248.33
44.86	1285
44.88	1261.67
44.9	1276.67
44.92	1265
44.94	1203.33
44.96	1263.33
44.98	1271.67
45	1213.33
45.02	1168.33
45.04	1158.33
45.06	1158.33
45.08	1066.67
45.1	1110
45.12	1093.33
45.14	1038.33
45.16	978.333
45.18	945
45.2	968.333
45.22	961.667
45.24	1015
45.26	1000
45.28	923.333
45.3	956.667
45.32	940
45.34	1011.67
45.36	1033.33
45.38	950
45.4	920
45.42	913.333
45.44	883.333
45.46	925
45.48	898.333
45.5	893.333
45.52	895
45.54	858.333
45.56	895
45.58	916.667
45.6	838.333
45.62	806.667
45.64	793.333
45.66	800
45.68	801.667
45.7	790
45.72	805
45.74	828.333
45.76	805
45.78	798.333
45.8	758.333
45.82	748.333
45.84	785
45.86	840
45.88	818.333
45.9	858.333
45.92	841.667
45.94	830
45.96	760
45.98	790
46	808.333
46.02	738.333
46.04	783.333
46.06	781.667
46.08	766.667
46.1	743.333
